Area,Year,Top10,Top5,Top1,Top0.5,Top0.1,Top0.01,Atkin05,Gini,RMeanDev,Theil,Small Businesses As % of Total Number of Businesses,Small Business Share of Employment,Total Firms Per Capita,HighSchool Grads As % of Total Population,College Grads As % of Total Population,Real GDP Per Capita,Real GDP Per Capita (% Change),Real GDP in Millions of 2009 US Dollars,Real GDP (% Change)," Agriculture, Forestry & Fishing (Millions of US Dollars) ", All Industry Total , Construction ," Finance, Insurance & Real Estate ", Government , Manufacturing , Mining , Retail Trade , Services ,Transportation and public utilities,Wholesale trade,Agshare,Constructionshare,FIREshare,Governmentshare,Manufacturingshare,Miningshare, RetailTradeshare , Serviceshare ,Transhare,Wholesaleshare,Numberofpoor,Povertyrate, % Union Members Total , % Union Coverage Total , % Union Members Private Construction , % Union Coverage Private Construction , % Union Members Private Manufacturing , % Union Coverage Private Manufacturing , % Union Members Private , % Union Coverage Private , % Union Members Public , % Union Coverage Public , Right to Work Dummy , Population , Land Area (Sq. Miles) , Density (People per Sq. Mile) , Ethnic Minorities as a Percentage of Total Pop ,Total Revenue,Total Taxes,Total Gen Sales Tax (T09),Total Select Sales Tax,Total Income Taxes,Individual Income Tax (T40),Corp Net Income Tax (T41),Total Expenditure,Public Welf-Total Exp,Construction,Manufacturing,Forestry & Fishing,Wholesale Trade,Retail Trade,"Finance, Insurance & Real Estate",Mining,Transportation and Utilities,Services,Government & Government Enterprises,Personal Income,Incorporated Self Employed,Un-incorporated Self Employed,Total Self Employed
New Jersey,1990,41.92,29.69,15.66,11.45,5.97,2.32,0.25,0.57,0.79,0.78,96.61,0.393171387, 0.0242597 ,59.46%,17.80%,41383.5402,0.3,321018.66,0.7," 1,077.00 "," 214,357.00 "," 9,622.00 "," 46,275.00 "," 22,775.00 "," 35,816.00 ", 114.00 ,17212,44279,19452,17736,0.005024329,0.044887734,0.215878185,0.106247988,0.167085749,0.000531823,0.080295955,0.206566616,0.090745812,0.082740475,754,9.7,24.1,26.3,41.8,42.0,24.9,26.6,17.3,19.1,59.7,63.8, -   ,7757158," 8,723 ", 889.28 ,0.177355676,22759858,10433910,3291359,2152615,4075142,2952046,1123096,21848658,3456441,7808558,26027898,536742,12185819,11996240,9582373,178766,10511443,37826337,21330450,192503740,"158,766","245,930",404696
New Mexico,1990,37.90,24.19,10.26,7.10,3.48,1.15,0.21,0.58,0.79,0.55,94.90,0.479399146, 0.0202829 ,53.47%,12.95%,26208.9607,1.2,39835.86426,2.3, 716.00 ," 26,600.00 "," 1,049.00 "," 3,091.00 "," 5,827.00 "," 1,554.00 "," 3,053.00 ",2614,4908,2545,1243,0.026917293,0.03943609,0.116203008,0.21906015,0.058421053,0.114774436,0.098270677,0.184511278,0.095676692,0.046729323,349,22.4,7.0,9.5,10.6,11.7,11.4,12.0,6.7,7.5,7.9,15.1, -   ,1519933," 121,590 ", 12.50 ,0.121728392,4787154,2014040,835989,299998,422703,360971,61732,4172425,435600,921933,1286715,91094,711722,1748641,623675,674381,1179594,4095493,5026112,23031799,"16,831","87,092",103923
New York,1990,42.66,31.39,18.12,13.82,7.93,3.54,0.28,0.59,0.81,0.92,97.42,0.382739114, 0.0229283 ,57.82%,16.40%,41026.76247,0.1,738598.8558,0.3," 2,492.00 "," 493,192.00 "," 18,556.00 "," 126,793.00 "," 56,951.00 "," 67,185.00 ", 447.00 ,35553,109138,41416,34660,0.005052799,0.037624292,0.25708649,0.115474298,0.136224837,0.000906341,0.072087544,0.221289072,0.083975409,0.07027689,2736,15.3,28.2,30.7,35.0,38.1,25.3,27.5,18.2,20.2,69.4,74.0, -   ,18002855," 54,555 ", 329.99 ,0.214127093,64359774,28614593,6002896,3365112,17174585,15289156,1885429,59138553,14820447,15271450,47987644,840090,20980026,23340571,54177098,384791,19846034,95519863,60000820,432392237,"282,036","565,307",847343
North Carolina,1990,36.84,24.65,11.34,8.45,4.25,1.55,0.22,0.54,0.75,0.61,96.13,0.349073825, 0.0204939 ,53.59%,11.81%,31418.1578,-0.8,209150.2681,0.6," 3,273.00 "," 139,658.00 "," 5,864.00 "," 16,632.00 "," 19,536.00 "," 42,060.00 ", 257.00 ,12553,18943,11565,8975,0.023435822,0.041988286,0.119090922,0.139884575,0.301164273,0.00184021,0.089883859,0.135638488,0.082809434,0.064264131,964,14.5,5.2,6.5,1.1,1.8,5.5,5.9,3.8,4.5,12.9,17.2, 1 ,6656987," 53,819 ", 123.69 ,0.241038476,14625482,7864737,1772911,1419410,4002778,3390390,612388,13492830,1833205,5604743,24416315,479088,5598952,8719790,4182009,200383,5851625,16660670,16679089,115754709,"79,487","276,387",355874
North Dakota,1990,33.85,21.54,9.37,6.42,2.97,0.91,0.20,0.56,0.76,0.51,95.57,0.537755783, 0.0260097 ,57.03%,12.07%,27042.24029,4.8,17235.75044,3.4," 1,221.00 "," 11,509.00 ", 416.00 ," 1,372.00 "," 2,032.00 ", 790.00 , 689.00 ,1037,1773,1215,963,0.106090885,0.036145625,0.119211052,0.176557477,0.068641932,0.059866192,0.090103397,0.15405335,0.105569554,0.083673647,92,14.5,12.0,15.3,16.2,17.2,21.0,21.6,7.4,8.9,25.7,34.6, 1 ,637364," 70,698 ", 9.02 ,0.051658079,1819069,677112,230973,149524,152449,105687,46762,1754920,226061,380510,449935,58491,565254,711936,341814,176423,651020,1531840,1728262,10290342,"7,284","51,226",58510
Ohio,1990,35.84,24.39,11.90,9.04,4.62,1.75,0.22,0.53,0.73,0.61,96.26,0.36459737, 0.0185031 ,56.55%,11.62%,31354.84176,0.7,340571.1804,1.1," 2,753.00 "," 227,413.00 "," 9,122.00 "," 31,484.00 "," 25,099.00 "," 64,344.00 "," 1,337.00 ",20612,38826,18902,14935,0.012105728,0.040112043,0.138444152,0.110367481,0.28293897,0.005879171,0.090636859,0.170729026,0.0831175,0.065673466,1488,13.4,21.0,23.3,28.6,30.4,33.6,34.9,17.6,18.8,40.5,49.6, -   ,10861837," 44,826 ", 242.31 ,0.11752303,28771360,11436367,3589092,2162847,4768731,4125303,643428,25237044,5058374,8380958,45001671,607326,9588820,13993952,7977252,876820,8955784,34425907,22419203,202826963,"159,957","335,517",495474
Oklahoma,1990,37.42,24.76,11.85,8.83,4.52,1.68,0.22,0.58,0.78,0.62,95.85,0.434840561, 0.0200765 ,54.99%,11.85%,27507.225,0.6,86568.12532,0.5," 1,630.00 "," 57,805.00 "," 1,627.00 "," 6,379.00 "," 9,881.00 "," 10,199.00 "," 4,771.00 ",5508,8864,5620,3325,0.028198253,0.028146354,0.110353776,0.17093677,0.176438024,0.082536113,0.095285875,0.153343136,0.097223424,0.057520976,541,17,10.6,12.9,10.4,11.7,15.2,15.3,7.1,7.7,23.0,31.1, -   ,3147105," 69,899 ", 45.02 ,0.168220952,7223144,3476859,844475,696230,1096803,1000883,95920,6514532,1090401,1687895,5839601,178278,1962439,3495735,1705973,2363680,2829810,7724844,7980797,50948903,"42,910","174,617",217527
Oregon,1990,38.01,26.02,12.20,9.20,4.62,1.70,0.22,0.55,0.76,0.63,96.09,0.468959078, 0.0245784 ,60.47%,14.00%,29634.8504,1.6,84712.61269,4.2," 1,966.00 "," 56,566.00 "," 2,620.00 "," 8,501.00 "," 7,903.00 "," 10,919.00 ", 81.00 ,5212,10031,4926,4406,0.03475586,0.046317576,0.150284623,0.139712902,0.193031149,0.001431956,0.092140155,0.177332673,0.087084114,0.077891313,401,13.5,20.4,23.4,29.7,30.9,24.1,25.6,13.5,15.0,54.4,65.3, -   ,2858547," 98,379 ", 29.06 ,0.055883636,8215514,2785890,0,393608,1974430,1826646,147784,6352387,933856,2435035,7696711,475346,2804927,4220965,1901615,62903,2643356,8837272,7161296,51672272,"57,308","173,008",230316
Pennsylvania,1990,38.67,27.12,13.37,10.19,5.31,2.06,0.23,0.55,0.76,0.68,96.49,0.375352961, 0.0196519 ,57.85%,12.84%,30879.48275,1.2,367330.0985,1.5," 2,766.00 "," 245,281.00 "," 11,536.00 "," 42,124.00 "," 27,103.00 "," 50,371.00 "," 1,731.00 ",22467,51657,20058,15470,0.011276862,0.047031772,0.171737721,0.110497756,0.205360383,0.007057212,0.091596985,0.210603349,0.081775596,0.063070519,1340,11,20.4,22.7,25.6,27.3,28.4,30.0,15.6,17.2,50.9,57.6, -   ,11895604," 46,054 ", 258.30 ,0.106341973,27388205,13219655,4224983,2322291,4315445,3220667,1094778,24531015,5186441,10846441,38237365,768194,10328541,15968212,10138461,1672585,11358245,45560070,24292407,233194273,"134,186","406,335",540521
Rhode Island,1990,38.33,26.68,12.75,9.62,4.84,1.79,0.22,0.54,0.75,0.64,94.97,0.442280712, 0.0250233 ,56.85%,15.12%,32293.63244,-1.6,32443.76554,-1.1, 184.00 ," 21,664.00 ", 982.00 ," 4,732.00 "," 2,733.00 "," 4,228.00 ", 10.00 ,1971,4324,1326,1174,0.008493353,0.045328656,0.218426883,0.126153988,0.195162482,0.000461595,0.090980428,0.199593796,0.061207533,0.054191285,99,10.4,18.2,19.6,20.0,26.2,13.6,14.1,10.8,11.9,62.5,65.2, -   ,1004649," 1,545 ", 650.26 ,0.06646799,3062198,1233305,397426,247083,495411,426583,68828,3013758,547355,881840,3177553,107279,728941,1368597,893720,5920,579574,3832229,2510341,20307648,"18,861","33,183",52044
South Carolina,1990,36.66,23.78,10.71,7.69,3.78,1.30,0.21,0.54,0.75,0.57,95.54,0.352925429, 0.0189524 ,50.96%,11.03%,27887.00029,1.9,97578.39878,3.2, 797.00 ," 65,157.00 "," 3,869.00 "," 7,753.00 "," 11,566.00 "," 16,500.00 ", 203.00 ,6449,8802,5529,3689,0.012231993,0.059379652,0.118989518,0.177509707,0.253234495,0.003115552,0.098976319,0.135089092,0.084856577,0.056617094,582,16.4,4.6,6.1,4.4,5.1,6.5,7.7,3.7,4.5,9.2,14.3, 1 ,3499064," 32,020 ", 109.28 ,0.307858044,8852303,3934383,1447851,688753,1531106,1380180,150926,7909943,1077944,3411541,11387424,232340,1922027,4334734,1729256,76785,2477203,7591593,9431271,56081923,"33,679","122,174",155853
South Dakota,1990,33.64,22.69,11.21,8.30,4.34,1.65,0.22,0.58,0.78,0.61,95.74,0.535457267, 0.0262326 ,55.96%,11.38%,27451.00604,5.2,19124.21002,5.3," 1,610.00 "," 12,770.00 ", 475.00 ," 2,096.00 "," 2,006.00 "," 1,384.00 ", 209.00 ,1264,1883,1032,811,0.126076742,0.037196554,0.164134691,0.157086922,0.108379013,0.016366484,0.098981989,0.147454973,0.080814409,0.063508222,96,14,8.4,11.3,4.3,4.3,10.4,13.7,4.6,5.8,22.3,31.6, 1 ,696667," 77,116 ", 9.03 ,0.082416707,1507131,500093,249691,152960,30714,0,30714,1343692,186824,428443,858681,98421,486290,855257,448080,112660,530217,1621450,1705612,11513251,"10,084","59,416",69500
Tennessee,1990,39.30,26.39,12.74,9.63,4.85,1.80,0.23,0.57,0.77,0.65,95.28,0.353140315, 0.0190347 ,50.89%,10.87%,28810.96308,-1.3,140903.6451,-0.5," 1,261.00 "," 94,087.00 "," 3,653.00 "," 11,452.00 "," 12,632.00 "," 22,673.00 ", 457.00 ,9986,17252,7735,6987,0.013402489,0.038825768,0.121717134,0.134258718,0.240979094,0.004857207,0.10613581,0.183362207,0.082211145,0.074261056,744,15.5,11.7,14.1,10.6,10.6,17.7,20.3,9.8,11.0,22.3,31.2, 1 ,4890626," 42,144 ", 116.05 ,0.168709895,9182699,4245024,2343908,924549,434990,102954,332036,8402652,1674661,3587858,15499009,265584,4195107,6350767,3007792,299026,4544165,14706156,10453949,81934674,"36,320","196,599",232919
Texas,1990,41.10,29.32,14.88,11.49,6.24,2.58,0.26,0.62,0.85,0.78,96.94,0.369135235, 0.0186541 ,51.79%,13.06%,33294.82816,1.7,567500.8237,3.2," 6,346.00 "," 378,943.00 "," 14,749.00 "," 50,224.00 "," 47,354.00 "," 60,181.00 "," 37,981.00 ",33867,65233,36682,26326,0.016746582,0.038921421,0.132537083,0.124963385,0.158812803,0.100228794,0.08937228,0.172144623,0.096800838,0.06947219,2965,17.5,6.4,8.4,5.9,6.9,9.4,11.7,4.7,6.0,14.4,20.0, -   ,17044714," 268,596 ", 63.46 ,0.144628182,31236702,14716513,7625401,4220435,0,0,0,26027258,4189186,13598101,36164799,1247210,16178564,22302602,13655325,11407297,17658064,56337454,39610583,296204968,"175,124","709,603",884727
Utah,1990,35.49,24.16,11.98,9.22,5.05,2.09,0.22,0.56,0.76,0.62,94.38,0.393224134, 0.0179302 ,54.72%,12.26%,27055.30425,3.8,46798.15497,5.4, 479.00 ," 31,249.00 "," 1,248.00 "," 3,874.00 "," 5,812.00 "," 4,494.00 "," 1,651.00 ",2894,5787,3118,1893,0.015328491,0.039937278,0.123971967,0.185989952,0.143812602,0.052833691,0.092610964,0.185189926,0.099779193,0.060577938,222,12.9,9.4,13.0,15.2,18.8,4.8,5.5,5.3,7.3,24.9,34.8, 1 ,1729722," 84,897 ", 20.37 ,0.041719999,4312917,1767991,707114,207913,740997,646830,94167,3857301,457993,1122473,3307856,57566,1225190,1913167,938159,401793,1658128,4992094,4688917,25737076,"23,665","73,155",96820
Vermont,1990,36.10,23.97,10.44,7.60,3.84,1.38,0.21,0.54,0.74,0.55,96.12,0.515816374, 0.0319320 ,60.60%,16.27%,30969.0831,0.4,17482.85261,1.7, 280.00 ," 11,674.00 ", 603.00 ," 2,016.00 "," 1,356.00 "," 2,587.00 ", 40.00 ,1109,2130,892,661,0.023984924,0.051653247,0.172691451,0.116155559,0.221603563,0.003426418,0.09499743,0.182456741,0.076409114,0.056621552,73,12.6,12.6,15.2,9.2,10.5,16.0,16.6,6.5,7.5,45.6,56.5, -   ,564526," 9,616 ", 58.71 ,0.012305899,1593336,665743,136029,185005,278032,250904,27128,1565049,273723,610615,1657374,53871,383834,807968,360887,17743,398105,1815411,1206709,10205317,"11,898","43,639",55537
Virginia,1990,35.26,23.67,10.63,7.92,3.87,1.37,0.22,0.54,0.76,0.60,95.85,0.370567898, 0.0196050 ,57.59%,16.81%,34941.02347,0,217106.9578,1.6," 1,679.00 "," 144,971.00 "," 7,485.00 "," 22,456.00 "," 30,704.00 "," 23,239.00 "," 1,055.00 ",12551,25944,12038,7821,0.011581627,0.051631016,0.154899946,0.211794083,0.160301026,0.007277318,0.086575936,0.17895993,0.083037297,0.053948721,608,9.9,8.4,10.9,6.1,7.3,13.5,15.2,6.3,7.5,15.3,22.1, 1 ,6213526," 42,775 ", 145.26 ,0.217883051,13608679,6600489,1353076,1290681,3388357,3082187,306170,12631664,1484246,6506237,14004713,427351,4986113,8463261,4551589,736911,5999141,22560131,26258010,129544409,"90,686","227,389",318075
Washington,1990,38.75,27.33,13.64,10.46,5.59,2.26,0.23,0.55,0.76,0.67,96.49,0.441450592, 0.0232697 ,62.01%,15.46%,36254.21769,2.4,177673.9449,5.8," 3,544.00 "," 118,640.00 "," 5,709.00 "," 18,041.00 "," 18,395.00 "," 23,676.00 ", 319.00 ,11324,19696,9168,8769,0.029871881,0.048120364,0.152065071,0.155048887,0.199561699,0.002688806,0.095448415,0.166014835,0.077275792,0.073912677,474,9.5,22.8,26.0,24.0,24.0,31.0,34.8,16.9,19.1,48.6,56.3, -   ,4900780," 71,298 ", 68.74 ,0.094225817,15094818,7423096,4470930,1093250,0,0,0,13566781,2097999,5261804,15165584,1337598,4672140,7394672,3411056,188579,4738735,16493609,14797978,98856108,"77,988","263,075",341063
West Virginia,1990,40.21,25.63,11.91,8.15,4.19,1.49,0.21,0.54,0.73,0.54,95.09,0.430836634, 0.0177582 ,49.59%,8.37%,23188.01808,2.5,41564.08183,1.7, 226.00 ," 27,754.00 "," 1,222.00 "," 2,911.00 "," 3,889.00 "," 4,877.00 "," 3,214.00 ",2756,4192,2924,1542,0.00814297,0.044029689,0.104885782,0.140123946,0.175722418,0.115803127,0.099301002,0.151041291,0.105354183,0.055559559,327,17.9,19.3,21.9,28.0,29.8,40.7,43.0,18.7,20.0,22.3,30.5, -   ,1792481," 24,230 ", 73.98 ,0.037081007,4457672,2229745,764523,428119,738500,516858,221642,4211695,631538,1041340,3240585,58467,889617,1708928,676811,1934015,1541523,3657667,3365660,26120068,"14,865","47,214",62079
Wisconsin,1990,36.42,24.74,11.92,9.09,4.70,1.80,0.22,0.54,0.74,0.60,96.19,0.407494448, 0.0213148 ,58.43%,12.00%,30621.01277,1,150112.3192,1.9," 3,211.00 "," 100,236.00 "," 4,155.00 "," 15,004.00 "," 11,199.00 "," 28,437.00 ", 151.00 ,8798,15427,7834,6018,0.032034399,0.041452173,0.149686739,0.111726326,0.283700467,0.001506445,0.087772856,0.15390678,0.078155553,0.06003831,492,9.9,20.6,21.6,36.2,37.7,28.9,29.6,15.1,15.8,48.7,51.2, -   ,4902265," 65,496 ", 74.85 ,0.07009719,15338074,6557746,1983828,1014041,3061458,2624896,436562,11416417,2220588,3910049,19393247,372252,3961156,6138478,3782903,97487,3974467,13460035,10180002,90143238,"63,557","208,322",271879
Wyoming,1990,35.04,24.64,13.72,11.12,6.91,3.45,0.24,0.59,0.79,0.73,94.97,0.563883925, 0.0285765 ,58.09%,11.96%,41964.76573,6.1,19026.86674,5, 368.00 ," 12,705.00 ", 429.00 , 946.00 ," 1,795.00 ", 563.00 ," 4,778.00 ",782,1137,1522,386,0.028964974,0.033766234,0.074458874,0.141282959,0.044313262,0.376072412,0.061550571,0.089492326,0.119795356,0.030381739,47,9.9,13.5,16.8,11.1,11.1,9.8,17.5,8.8,11.1,26.0,32.1, 1 ,453401," 97,813 ", 4.64 ,0.036283555,1901853,611613,162267,54599,0,0,0,1641177,109601,395068,292711,42017,203207,558516,185423,1022752,620113,952667,1535597,8161335,"6,922","27,230",34152
Alabama,1991,39.44,26.08,12.09,8.89,4.50,1.65,0.23,0.56,0.76,0.62,95.38,0.37372185, 0.0176949 ,49.78%,9.88%,26941.51905,1.6,110218.428,2.8," 1,721.00 "," 76,043.00 "," 2,976.00 "," 8,735.00 "," 13,532.00 "," 16,608.00 "," 1,128.00 ",7018,11411,8397,4519,0.022631932,0.039135752,0.114869219,0.177951948,0.218402746,0.014833713,0.092289889,0.150059835,0.110424365,0.059426903,729,17.3,13.3,15.6,12.1,13.7,23.9,26.3,10.9,12.1,23.7,30.2, 1 ,4091025," 52,420 ", 78.04 ,0.263109856,9767445,3942565,1049526,973127,1342483,1174230,168253,8855260,1356970,2820031,11519379,276421,2704642,4433169,2216668,626081,3439394,10078671,10903363,67662101,"25,907","141,739",167646
Alaska,1991,31.56,20.35,8.33,5.95,2.68,0.85,0.24,0.66,0.92,0.60,94.89,0.473737602, 0.0235934 ,57.86%,13.37%,56734.60616,-12.9,32297.47945,-10.3, 415.00 ," 22,283.00 ", 761.00 ," 1,991.00 "," 4,523.00 "," 1,163.00 "," 5,705.00 ",1307,2314,3534,571,0.018624063,0.034151595,0.089350626,0.20297985,0.052192254,0.256024772,0.05865458,0.103845981,0.158596239,0.025624916,58,10.2,21.6,24.1,22.7,23.5,16.3,20.2,12.0,13.3,44.3,50.0, -   ,569273," 665,384 ", 0.86 ,0.234325183,6355069,1806131,0,96674,253649,0,253649,4941025,434961,747282,683869,288826,328609,997194,341702,947764,1034462,2021058,4069064,13199663,"7,768","28,237",36005
Arizona,1991,39.12,26.69,11.86,8.77,4.21,1.47,0.23,0.58,0.79,0.62,95.21,0.392961288, 0.0196439 ,56.06%,14.12%,28260.39187,-2.4,106326.7288,0.4," 1,493.00 "," 73,358.00 "," 3,513.00 "," 13,797.00 "," 12,233.00 "," 8,974.00 "," 1,309.00 ",7781,14504,5387,4367,0.020352245,0.047888438,0.188077647,0.166757545,0.122331579,0.017843998,0.106068868,0.197715314,0.07343439,0.059529976,607,15.8,7.7,9.8,10.1,12.3,5.1,6.0,4.9,5.9,20.5,27.7, 1 ,3762394," 113,990 ", 33.01 ,0.107769946,9016008,4710745,2005801,671235,1437970,1245645,192325,8041370,1034440,2819222,6947679,404907,2655838,5078719,3071009,597277,2921322,12301723,9668131,66575466,"58,382","166,498",224880
Arkansas,1991,38.46,25.42,11.85,8.35,4.30,1.57,0.22,0.56,0.76,0.59,95.44,0.389554595, 0.0195668 ,52.14%,8.84%,25417.07192,3.3,60255.38823,4.5," 1,769.00 "," 41,572.00 "," 1,434.00 "," 4,944.00 "," 5,606.00 "," 10,055.00 ", 379.00 ,4048,5914,4967,2455,0.04255268,0.034494371,0.1189262,0.13485038,0.241869528,0.009116713,0.097373232,0.142259213,0.119479457,0.059054171,430,17.5,10.2,12.5,8.1,9.3,16.6,18.9,8.6,10.0,17.4,24.4, 1 ,2370666," 53,179 ", 44.58 ,0.17077142,4809850,2366105,876900,381263,916120,793880,122240,4649190,953593,1348188,6376094,188074,1351100,2737689,1125789,138038,2149501,5144451,4703899,36434402,"31,154","113,787",144941
California,1991,40.74,28.58,14.38,10.56,5.47,2.12,0.26,0.60,0.83,0.77,97.58,0.406316434, 0.0208707 ,54.82%,15.38%,37650.6241,-3.1,1145110.374,-1.4," 15,301.00 "," 790,046.00 "," 30,979.00 "," 171,647.00 "," 100,363.00 "," 115,813.00 "," 5,099.00 ",71879,170487,54489,53988,0.019367227,0.039211641,0.217262033,0.127034375,0.146590199,0.006454055,0.090980778,0.215793764,0.068969402,0.068335261,5197,16.4,18.3,20.9,24.4,25.4,14.4,15.6,12.5,13.9,47.9,56.9, -   ,30414114," 163,695 ", 185.80 ,0.19014912,90783734,44874424,14339942,4381510,21257723,16817244,4440479,85639976,18990798,28593870,86443739,4866212,31387581,47712279,34868958,2160005,28653963,147839966,93414249,665001713,"338,553","1,478,015",1816568
Colorado,1991,36.83,25.31,11.61,8.60,4.26,1.55,0.23,0.58,0.80,0.63,95.63,0.421525316, 0.0256914 ,61.96%,18.33%,34331.79728,-0.3,115614.6276,2.1," 1,457.00 "," 79,766.00 "," 3,354.00 "," 14,045.00 "," 12,593.00 "," 9,576.00 "," 1,581.00 ",7642,16332,8259,4928,0.018265928,0.04204799,0.176077527,0.157874282,0.12005115,0.019820475,0.09580523,0.204748891,0.103540356,0.061780709,376,10.8,9.9,11.8,15.2,15.2,7.4,8.0,7.6,8.1,20.1,28.4, -   ,3367567," 104,094 ", 32.35 ,0.070736232,7863081,3213833,844572,522095,1580799,1466285,114514,6992288,1131940,2998917,7310843,273969,3194417,5189746,3415070,1061056,4363704,14005044,10700076,68711303,"65,361","164,879",230240
Connecticut,1991,42.95,30.66,16.27,11.79,6.16,2.41,0.26,0.58,0.80,0.82,95.65,0.368506189, 0.0238418 ,62.82%,19.55%,44723.6969,-2.8,147080.1386,-2.4, 605.00 ," 101,475.00 "," 3,450.00 "," 26,940.00 "," 9,673.00 "," 19,323.00 ", 64.00 ,8125,19259,7381,6655,0.00596206,0.033998522,0.265484109,0.095323971,0.190421286,0.000630697,0.080068983,0.189790589,0.072737127,0.065582656,321,9.8,19.0,20.2,22.1,22.1,16.9,19.0,11.3,12.2,68.7,71.5, -   ,3288640," 5,543 ", 593.30 ,0.106642563,9816213,4983328,2438653,968404,990488,474609,515879,11114721,2068735,3100661,15352376,290697,4287497,5588535,6778988,57931,3120776,16723134,8950297,87599501,"46,276","120,387",166663
Delaware,1991,36.34,24.52,11.02,8.13,3.96,1.41,0.22,0.53,0.74,0.60,91.70,0.352254222, 0.0245522 ,55.98%,23.90%,46317.95917,2,31519.13962,4, 251.00 ," 21,746.00 ", 809.00 ," 7,579.00 "," 2,106.00 "," 4,662.00 ", 7.00 ,1492,2847,1139,853,0.011542353,0.037202244,0.348523866,0.096845397,0.214384255,0.000321898,0.068610319,0.130920629,0.052377449,0.039225605,55,7.8,16.8,18.6,23.1,24.2,28.0,29.9,13.4,14.7,39.4,44.8, -   ,680495," 2,489 ", 273.40 ,0.191372457,2442824,1165492,0,170477,584180,461723,122457,2318072,256892,957437,3645486,46045,506604,1029941,1064735,6432,629717,2530338,1885102,15238119,"10,304","20,818",31122
District of Columbia,1991,41.12,29.97,15.57,11.19,5.73,2.18,0.26,0.61,0.83,0.85,89.33,0.311038735, 0.0270315 ,59.99%,14.75%,101223.2342,-1.1,60049.57025,-1.8, 9.00 ," 41,430.00 ", 515.00 ," 4,771.00 "," 17,144.00 "," 1,238.00 ", 11.00 ,1363,13053,2692,635,0.000217234,0.012430606,0.115158098,0.41380642,0.029881728,0.000265508,0.032898866,0.31506155,0.06497707,0.015327058,120,20.3,15.0,19.0,18.8,23.7,6.7,9.3,10.9,13.6,23.1,29.4, -   ,593239, 68 ," 8,724.10 ",0.687362092,4742936,2414022,451582,221984,749342,615746,133596,4802562,691629,479834,831271,6550,414090,972659,1425763,10351,1237182,11883412,15378747,16272212,"4,312","16,108",20420
Florida,1991,43.24,31.46,16.67,12.61,6.86,2.85,0.26,0.60,0.82,0.84,97.40,0.41737049, 0.0233547 ,60.06%,13.65%,29193.38827,-2,387965.4458,0.5," 5,739.00 "," 267,669.00 "," 12,350.00 "," 53,909.00 "," 40,148.00 "," 24,139.00 ", 812.00 ,29174,58815,23908,18676,0.02144066,0.046139075,0.201401731,0.14999122,0.090182277,0.003033597,0.108992823,0.219730339,0.089319271,0.069772742,2139,15.6,8.7,12.1,4.8,5.5,6.6,8.0,4.2,5.6,30.3,42.8, 1 ,13289497," 65,758 ", 202.10 ,0.155416191,24496377,13764055,8138690,2746001,582149,0,582149,25167779,4556120,9908082,17612476,1736991,10625008,19504381,12519934,344396,10899583,49771452,32874355,270301132,"293,250","503,361",796611
Georgia,1991,39.06,26.96,12.11,8.95,4.35,1.53,0.23,0.56,0.78,0.64,95.22,0.349509827, 0.0197028 ,51.50%,13.08%,32345.20922,-0.8,214166.6546,1.3," 2,590.00 "," 147,760.00 "," 5,418.00 "," 23,242.00 "," 21,783.00 "," 26,642.00 ", 667.00 ,13039,24517,16461,13401,0.017528424,0.036667569,0.157295615,0.147421494,0.180305901,0.004514077,0.08824445,0.165924472,0.111403628,0.090694369,1177,17.7,6.8,8.8,5.5,5.5,10.1,11.3,6.0,6.9,10.3,17.1, 1 ,6621279," 59,425 ", 111.42 ,0.28768898,13866289,7154525,2656792,840263,3364239,2947681,416558,13286331,2672806,4797128,16717746,447881,8454377,8702051,6131192,301791,8361768,21033621,18718158,121117611,"80,754","228,555",309309
Hawaii,1991,33.24,22.67,10.72,7.81,3.85,1.39,0.22,0.56,0.77,0.62,95.14,0.410468376, 0.0219151 ,62.41%,16.39%,44013.85665,-0.6,49797.80557,1.5, 474.00 ," 34,357.00 "," 2,234.00 "," 8,146.00 "," 7,130.00 "," 1,208.00 ", 35.00 ,3605,6881,3324,1319,0.013796315,0.065023139,0.237098699,0.20752685,0.035160229,0.001018715,0.104927671,0.200279419,0.096748843,0.038391012,133,11.2,29.0,31.1,51.6,54.2,38.4,39.1,21.3,23.1,53.5,56.8, -   ,1131412," 10,932 ", 103.50 ,0.659309783,4915536,2639152,1278737,319753,989114,872734,116380,4510034,478011,1983918,799534,145920,835921,2461237,1423629,13457,1658327,5552221,5912371,26366349,"18,101","44,185",62286
Idaho,1991,35.84,23.59,10.50,7.55,3.76,1.33,0.21,0.57,0.77,0.56,95.68,0.492179553, 0.0233762 ,54.99%,10.93%,26301.00748,-0.7,27324.51118,2.1," 1,441.00 "," 18,852.00 ", 975.00 ," 2,523.00 "," 2,996.00 "," 3,037.00 ", 193.00 ,1941,2979,1611,1154,0.076437513,0.051718651,0.133831954,0.15892213,0.161096966,0.010237641,0.102959898,0.158020369,0.085455124,0.061213664,166,15.2,8.9,10.7,4.6,5.6,15.7,18.5,6.8,7.9,17.5,22.4, 1 ,1038915," 83,569 ", 12.43 ,0.028273728,2583740,1204607,404164,183601,505860,446148,59712,2305140,285200,943415,2146746,177814,687813,1306000,518383,148318,797349,2561508,2562329,16984993,"8,915","63,012",71927
